"year_month","total_revenue","total_orders","active_customers","avg_order_value"
"2009-12",729781.68,1583,902,461.01
"2010-01",484647.53,980,655,494.54
"2010-02",447842.01,1090,712,410.86
"2010-03",670956.71,1524,981,440.26
"2010-04",558114.09,1328,873,420.27
"2010-05",553099.74,1381,901,400.51
"2010-06",603400.70,1497,962,403.07
"2010-07",552195.31,1402,854,393.86
"2010-08",582147.37,1304,848,446.43
"2010-09",727454.58,1627,1041,447.11
"2010-10",947424.50,2062,1375,459.47
"2010-11",1251705.07,2505,1485,499.68
"2010-12",1084989.96,1440,814,753.47
"2011-01",547167.61,967,645,565.84
"2011-02",418933.95,990,678,423.17
"2011-03",572873.13,1302,879,439.99
"2011-04",466132.15,1148,784,406.04
"2011-05",619391.15,1518,961,408.03
"2011-06",606195.96,1379,888,439.59
"2011-07",578224.68,1317,856,439.05
"2011-08",579958.60,1195,833,485.32
"2011-09",878029.11,1631,1140,538.34
"2011-10",914678.25,1789,1228,511.28
"2011-11",1286274.78,2481,1503,518.45
